,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Dinozombie,Poison,25,Fist,"Attack, Bone",150,None,5000,None,0,3700,25000,268,No,None,60,Dragon's Den (Dragon Temple) [WoR],600,No,3,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Meteor Strike,None,Easy,,"Attack (3/4), Bone (1/4)",Bone (500% damage),47,Imp,"Holy Water (7/8), Hi-Ether (1/8)",Undead,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop","Fire, Ice, Holy, Water",0,1,1
Doberman,None,10,Dragon Claws,"Attack, Bite",100,Hi-Potion (1/8),0,None,0,83,465,1,No,None,12,"Imperial Camp. When you come across a chest that doesn't open and you choose ""Kick it."" [Sabin's Scenario only]",10,No,10,150,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Bite,Easy,Doberman,"Attack (3/4), Bite (1/4)",Bite (150% damage),35,None,"Potion (7/8), Hi-Potion (1/8)",N/A,None,Fire,0,0,0
Don,None,14,Fist,"Attack, Tackle",135,Hi-Potion (1/8),255,None,0,345,620,70,Yes,None,17,Grass on Southern Continent (Everywhere) Forest on Southern Continent,10,No,10,145,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Tackle,Easy,Ralph,"Attack (3/4), Tackle (1/4)",Tackle (150% damage),35,Petrify,"Potion (7/8), Tiger Mask (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Dragon,None,45,Fist,"Attack, Tail, Revenge Blast, Snowstorm",130,None,2931,None,40,0,7000,109,No,None,29,Floating Continent,850,No,10,110,0,"Potion, Potion, Potion, Elixir (32/256)",None,Revenge Blast,Hard,Dragon,"Revenge Blast (3/4), Tail (1/4)",Tail (500% damage),55,"Imp, Petrify, Death, Doom, Critical, Silence, Berserk Confusion, Sap","Hi-Potion (7/8), Genji Glove (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sleep Slow, Stop",Lightning,0,0,0
Dragon Aevis,None,25,Dragon Claws,"Attack, Wing Spike, Aero",80,None,5000,None,50,1200,23000,267,No,Float,77,Dragon's Den (Flame Labyrinth) [WoR],500,No,15,180,20,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Meteor Strike,None,Easy,,"Attack (3/4), Aero (1/4)",Wing Spike (200% damage),55,"Imp, Petrify, Doom, Critical",Dragon Horn (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Image Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop",Fire,0,1,1
Dropper,None,6,Fist,"Attack, Crazed Signal, Confuse",100,Ether (1/8),398,None,0,427,1000,136,No,Sap,27,Figaro Castle (Engine Room) [WoR],80,Yes,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (128/256)",Meteor Strike,Confuse,Easy,Drop,"Confuse (3/4), Crazed Signal (1/4)",Crazed Signal (inflicts 'Confusion'),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Ether (7/8),N/A,"Slow, Stop","Lightning, Water",0,0,0
Duel Armor,None,13,Fist,"Attack, Megashock, Megavolt, Gigavolt",185,None,2500,None,0,800,7200,252,No,None,53,Kefka's Tower (1st/2nd Party,1600,No,10,145,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Megavolt,Hard,Dueller,"Gigavolt (3/4), Megashock (1/4)",Megashock (300% damage),35,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Chainsaw (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Dullahan,Ice,55,Fist,"Attack, Morning Star",130,None,0,None,10,0,23450,316,No,"Float, Haste",37,Darill's Tomb (Boss) [WoR],1721,Yes,7,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Dullahan,"Attack (3/4), Morning Star (1/4)",Morning Star (200% damage),55,"Zombie, Poison, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep, Stop","X-Potion (7/8), Genji Glove (1/8)",N/A,"Darkness, MagiTek, Image, Sap, Slow",Fire,1,0,0
Earth Dragon,None,23,Dragon Claws,"Attack, Honed Tusk",110,Magus Rod (Always),0,None,0,0,28500,342,No,Float,53,Opera House [WoR],16500,No,12,150,0,"Crystal Sword, Crystal Shield, Crystal Helm, Crystal Mail (32/256)",Control,None,Can't Run Away,Dirt Drgn,"Thundaga (3/4), Magnitude 8 (1/4)",Honed Tusk (500% damage),55,"Zombie, Invisible, Imp, Petrify, Death, Doom, Critical Silence, Berserk, Confusion, Sap, Stop",X-Potion (1/8),N/A,"Darkness, Poison, MagiTek, Image, Sleep, Slow","Wind, Water",1,0,0
Earth Dragon #2,Earth,100,Dragon Claws,Attack,220,Godhand (Always),0,None,10,0,58000,380,No,None,97,Dragon's Den (Earth Labyrinth) [WoR],24000,No,18,150,20,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Quake (1/4)",Savage (400% damage),80,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",X-Potion (1/8),N/A,Nothing,"Wind, Water",0,1,1
Earth Eater,None,70,Fist,Attack,10,None,5000,None,0,0,36000,370,No,None,97,Dragon's Den (Cloister of Trials) [WoR],1400,No,30,80,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Megaton Punch (1/4)",Megaton Punch (inflicts 'Death'),45,"Darkness, Poison, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Sleep",Teleport Stone (Always),N/A,"Zombie, MagiTek, Image, Berserk, Confusion, Sap, Slow Stop",Holy,1,1,1
Enuo,None,13,Fist,"Attack, Slime, Tsunami, Aqua Breath",50,None,1429,None,0,968,4635,220,No,"Sap, Reflect",46,Cave to the Ancient Castle [WoR],280,No,10,250,0,"Potion, Potion, Potion, Elixir (32/256)",None,Tsunami,Easy,Enuo,"Tsunami (3/4), Slime (1/4)",Slime (inflicts 'Slow'),30,"Darkness, Poison, Imp, Critical, Berserk, Confusion, Sleep Slow, Stop",X-Potion (1/8),N/A,"Zombie, MagiTek, Invisible, Petrify, Death, Doom, Image Silence, Sap",Holy,0,0,0
Erebus,Poison,13,Dragon Claws,"Attack, Poison Claw",85,None,0,None,0,0,3500,333,No,None,43,Ebot's Rock (During fight with Hidon) [WoR],1000,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,Hidonite,"Attack (3/4), Poison Claw (1/4)",Poison Claw (inflicts 'Poison'),30,"Zombie, Invisible, Imp, Berserk, Confusion, Sleep",None,N/A,"Darkness, Poison, MagiTek, Petrify, Death, Doom, Critical Image, Silence, Sap, Slow, Stop",Earth,1,0,0
Erebus #2,"Fire, Ice, Lightning, Poison, Wind, Holy, Water",13,Dragon Claws,"Attack, Confuse Claw",115,None,0,None,0,0,3500,334,No,Reflect,43,Ebot's Rock (During fight with Hidon) [WoR],1000,Yes,10,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,Hidonite,"Attack (3/4), Confuse Claw (1/4)",Confuse Claw (inflicts 'Confusion'),30,"Invisible, Imp, Death, Doom, Silence, Confusion, Sleep Slow, Stop",None,N/A,"Darkness, Zombie, Poison, MagiTek, Petrify, Critical, Image Berserk, Sap",None,0,0,0
Erebus #3,Poison,13,Dragon Claws,"Attack, Zombie Claw",105,None,0,None,0,0,3500,335,No,None,43,Ebot's Rock (During fight with Hidon) [WoR],1000,No,10,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Hidonite,"Attack (3/4), Zombie Claw (1/4)",Zombie Claw (inflicts 'Zombie'),30,"Darkness, Zombie, Poison, Invisible, Imp, Petrify, Silence Berserk, Sleep",None,Undead,"MagiTek, Death, Doom, Critical, Image, Confusion, Sap Slow, Stop","Fire, Holy",0,0,0
Erebus #4,None,13,Dragon Claws,"Attack, Mega Claw",95,None,0,None,0,0,3500,336,Yes,Protect,43,Ebot's Rock (During fight with Hidon) [WoR],1000,No,10,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Hidonite,"Attack (3/4), Mega Claw (1/4)",Mega Claw (400% damage),30,"Zombie, Invisible, Imp, Petrify, Critical",None,N/A,"Darkness, Poison, MagiTek, Death, Doom, Image, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop","Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water",0,0,0
Eukaryote,Poison,10,Fist,"Attack, Slow",55,None,95,None,0,100,110,5,No,Float,11,"Terra/Edgar/Bannon Scenario In Mog's cave if you pick the wrong route and mess up on the stars, you have a 25% chance of encountering these enemies Anytime after the Imperial raid on Narsche (You can return to this cave and mess up the puzzle again)",35,No,10,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Fire,Easy,Rinn,"Attack (3/4), Slow (1/4)",Cling (inflicts 'Slow'),25,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Potion (Always),Undead,None,"Fire, Holy",0,0,0
Exocite,Water,19,Sasuke,"Attack, Pincer",100,Potion (1/8),162,None,0,153,196,23,No,None,11,Lethe River [WoB],100,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Pincer,Easy,Exocite,"Attack (3/4), Pincer (1/4)",Pincer (150% damage),30,"Darkness, Imp","Potion (7/8), Mythril Claws (1/8)",N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop","Fire, Lightning",0,0,0
Exoray,Poison,13,Fist,"Attack, Deadly Pollen, Venomist",105,Holy Water (7/8),449,None,0,370,1200,146,No,Shell,29,"Darill's Tomb (B2F, B3F) [WoR]",112,No,10,105,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Venomist,Easy,Exoray,"Venomist (3/4), Deadly Pollen (1/4)",Deadly Pollen (inflicts 'Zombie'),33,"Darkness, Imp, Petrify, Silence, Berserk, Confusion, Sleep",None,Undead,"Zombie, Poison, MagiTek, Invisible, Death, Doom, Critical Image, Sap, Slow, Stop","Fire, Holy",0,0,0
Face,Fire,11,Fist,"Attack, Smirk, 1000 Needles",105,Phoenix Down (1/8),2600,None,0,890,4550,164,No,Float,47,Phoenix Cave (Upstairs; Non-lava floors) [WoR],1700,Yes,10,150,0,"Potion, Potion, Potion, Elixir (32/256)",None,1000 Needles,Can't Run Away,Phase,"1000 Needles (3/4), Smirk (1/4)",Smirk (inflicts 'Stop'),30,"Imp, Petrify, Death, Doom, Silence, Sleep",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image Berserk, Confusion, Sap, Slow, Stop",Ice,0,0,0
Fafnir,None,13,Fist,"Attack, Tongue Lash, Traveler",110,None,459,None,0,456,1112,114,No,None,26,Southern Continent (Grass) [WoR],130,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Traveler,Easy,Mesosaur,"Traveler (3/4), Tongue Lash (1/4)",Tongue Lash (inflicts 'Sap'),30,None,Antidote (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Ice,0,0,0
Fidor,None,25,Fist,"Attack, Pounce",55,None,160,None,0,180,355,53,Yes,None,13,Narshe Cliffs (While protecting Bannon from Kefka),80,No,10,170,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Pounce,Can't Run Away,Fidor,"Attack (3/4), Pounce (1/4)",Pounce (200% damage),35,"Petrify, Sleep","Phoenix Down (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Fire,0,0,0
Fiend,"Ice, Poison",60,Fist,"Attack, Fiendish Rage",110,Mutsunokami (Always),0,None,0,0,63000,353,No,None,73,"Kefka's Tower (Room after Guardian, Left Party) [WoR]",4800,No,9,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",Northern Cross,Can't Run Away,Doom,"Attack (3/4), Fiendish Rage (1/4)",Fiendish Rage (unblockable; 400% damage),61,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep Stop",Safety Bit (1/8),N/A,"Darkness, Image, Slow",Holy,1,0,0
Fiend Dragon,None,13,Fist,"Attack, Heartless Angel, Northern Cross, Southern Cross",110,None,8500,None,0,2700,18008,242,No,Float,54,"Kefka's Tower (After Magitek Research Tube Room, Party #1) [WoR]",10000,Yes,13,90,0,"Potion, Potion, Potion, Elixir (32/256)",Meteor Strike,Northern Cross,Hard,Doom Drgn,"Northern Cross (3/4), Heartless Angel (1/4)",Dissolve (unblockable; bestows 'Invisible'),48,"Imp, Petrify, Death, Doom, Critical, Silence, Berserk Confusion, Sleep, Slow, Stop",Guard Bracelet (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sap",None,0,0,0
Figaro Lizard,None,29,Trident,"Attack, Venom, Dischord, Leech",90,None,1219,None,0,554,4220,218,Yes,Reflect,45,Cave to the Ancient Castle [WoR] Ancient Castle (outside & inside) [WoR],140,No,10,250,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Dischord,Easy,Figaliz,"Dischord (3/4), Venom (1/4)",Venom (inflicts 'Poison'),30,"Poison, Sleep",Hi-Potion (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Ice,0,0,0
Flame Eater,Fire,13,Fist,"Attack, Hit",105,None,0,"Lightning, Poison, Holy, Earth",20,0,8400,298,No,None,26,Thamasa (Burning House),480,Yes,7,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,FlameEater,"Attack (3/4), Hit (1/4)",Hit (150% damage),34,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Stop",Flametongue (7/8),N/A,Slow,Ice,1,0,0
Flan,None,13,Fist,"Attack, Sapping Ooze, Sticky Goo",13,None,160,"Poison, Wind, Holy, Earth, Water",0,120,255,80,No,None,19,Magitek Research Facility (basement where you found Shiva & Ifrit),110,No,10,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Sticky Goo,Easy,Flan,"Sticky Goo (3/4), Sapping Ooze (1/4)",Sapping Ooze (inflicts 'Sap'),30,"Darkness, Poison, Imp, Petrify","Potion (7/8), Magicite Shard (1/8)",N/A,"Zombie, MagiTek, Invisible, Death, Doom, Critical, Image Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop",Fire,0,0,0
Flan Princess,None,13,Fist,"Attack, Mystery Waltz",250,Oborozuki (Always),5000,"Poison, Wind, Holy, Earth, Water",0,11111,12345,367,No,None,91,Dragon's Den (Dragon Temple - Treasure Room) [WoR],1000,Yes,15,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Lullaby (1/4)",Mystery Waltz (steals MP),37,"Darkness, Poison, Invisible, Imp, Petrify, Critical, Stop","Super Ball (7/8), Megalixir (1/8)",N/A,"Zombie, MagiTek, Death, Doom, Image, Silence, Berserk Confusion, Sap, Sleep, Slow",Fire,1,1,1
Foper,None,13,Fist,"Attack, Forty Winks, Dread Gaze",100,Potion (1/8),53,None,0,80,119,11,No,None,7,South Figaro Cave (Only before Locke's Scenario) [WoB],10,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Death,Easy,Bleary,"Attack (3/4), Forty Winks (1/4)",Forty Winks (inflicts 'Sleep'),30,None,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Fortis,None,5,Fist,"Attack, Double Arm, Fireball, Snowball",160,None,3500,None,0,250,9800,255,No,None,54,Kefka's Tower (1st/2nd Party,700,No,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Fireball,Hard,Fortis,"Metal Cutter (3/4), Double Arm (1/4)",Double Arm (200% damage),35,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Drill (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Fossil Dragon,Poison,25,Fist,"Attack, Bone, Sandstorm, Banish",100,None,380,None,0,1870,1399,56,No,None,20,Desert near Kohlingen Desert near Albrook,219,No,3,165,0,"Remedy, Remedy, Remedy, Remedy (128/256)",Meteor Strike,Sandstorm,Easy,FossilFang,"Sandstorm (3/4), Bone (1/4)",Bone (inflicts 'Zombie'),35,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep","Holy Water (7/8), Remedy (1/8)",Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Ice, Holy, Water",0,0,0
Frozen Esper,None,13,Partisan,"Attack, Hit",100,None,0,None,0,0,12000,8,No,None,19,Narshe (Biggs/Wedge/Terra raid) [Beginning of Game],600,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,Tritoch,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,None,None,0,0,0
Galypdes,Fire,13,Ice Rod,"Attack, Flap, Cyclonic, Shamshir",120,Phoenix Down (1/8),2781,None,30,906,6013,167,No,Float,49,Phoenix Cave (Upstairs; Non-lava floors) [WoR],820,No,10,145,0,"Potion, Potion, Potion, Growth Egg (32/256)",Meteor Strike,Cyclonic,Easy,Aquila,"Cyclonic (3/4), Flap (1/4)",Flap (500% damage),40,"Imp, Petrify, Death, Doom, Sleep","Phoenix Down (7/8), Celestriad (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image Silence, Berserk, Confusion, Sap, Slow, Stop",Ice,0,0,0
Gamma,None,13,Fist,"Attack, Gamma Rays, Gamma Rays, Gamma Rays",175,None,9000,None,0,0,27000,248,No,None,57,Kefka's Tower (3rd Party,9000,No,15,145,0,"Golden Spear, Golden Shield, Golden Helm, Golden Armor (32/256)",None,Dischord,Hard,Scullion,"Self-Destruct (3/4), Gamma Rays (1/4)",Gamma Rays (inflicts 'Doom'),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Air Anchor (1/8),N/A,"Slow, Stop","Lightning, Water",0,0,0
Gargantua,None,67,Fist,"Attack, Evil Eye, Quake",100,Growth Egg (1/8),5000,None,55,0,30000,371,No,None,85,Dragon's Den (Cloister of Trials) [WoR],1500,No,0,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Quake (1/4)",Evil Eye (inflicts 'Slow'),31,"Invisible, Imp, Petrify, Death, Doom, Critical, Silence Stop",None,Humanoid,"Darkness, Zombie, Poison, MagiTek, Image, Berserk, Confusion Sap, Sleep, Slow",Poison,1,1,1
Garm,None,10,Dragon Claws,"Attack, Bodyslam",155,Potion (1/8),687,None,0,412,1510,188,No,None,32,"Narshe [WoR] Narshe Mines (West Mines, except 1st Cave) [WoR]",110,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Bodyslam,Hard,Red Wolf,"Revenge Blast (3/4), Bodyslam (1/4)",Bodyslam (150% damage),25,"Darkness, Poison, Petrify, Death, Doom, Critical, Silence Berserk, Confusion, Sleep, Slow, Stop",Potion (Always),N/A,"Zombie, MagiTek, Invisible, Imp, Image, Sap",None,0,0,0
General,None,13,Kiku-ichimonji,"Attack, Bio Attack, Cura",155,Green Cherry (1/8),232,None,0,308,650,81,Yes,Protect,19,Magitek Research Facility (Room after Espers),30,No,10,105,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",None,Cura,Easy,General,"Cura (3/4), Bio Attack (1/4)",Bio Attack (inflicts 'Sap'),30,None,"Potion (7/8), Mythril Shield (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Ghost,Poison,1,Ice Rod,"Attack, Fire",105,Potion (1/8),48,None,0,75,226,40,No,Float,10,Phantom Forest,70,No,1,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Thundara,Easy,Ghost,"Banish (3/4), Fire (1/4)",Time Freeze (inflicts 'Stop'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Potion (Always),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Gigantoad,None,11,Fist,"Attack, Croak, Sticky Goo",100,Sleeping Bag (1/8),235,None,0,340,458,118,No,None,26,Southern Continent (Wasteland) [WoR],20,No,10,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Sticky Goo,Easy,Gigan Toad,"Sticky Goo (3/4), Croak (1/4)",Croak (200% damage),30,"Poison, Death, Doom",None,N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Critical Image, Silence, Berserk, Confusion, Sap, Sleep, Slow Stop",Ice,0,0,0
Gigantos,None,20,Fist,"Attack, Throat Jab, Revenge Blast",1,Sasuke (Always),7550,None,0,0,6000,306,No,Protect,25,Floating Continent (Monster-in-a-box; East of first Warp Tunnel),1120,No,10,1,0,"Potion, Potion, Potion, Organyx (32/256)",None,Magnitude 8,Can't Run Away,Gigantos,"Attack (3/4), Throat Jab (1/4)",Throat Jab (500% damage),50,"Invisible, Confusion, Sleep","X-Potion (7/8), Elixir (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Sap, Slow Stop",Poison,0,0,0
Gigantuar,Water,15,Fist,Attack,200,None,0,Fire,200,1111,30000,345,No,None,91,Desert south of Mandara (Fight 10 Cactuar then step on certain tile in South-West corner of Desert) [WoR],4500,No,18,200,200,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"1000 Needles (3/4), Knockdown (1/4)",Knockdown (500% damage),77,"Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,N/A,MagiTek,Water,1,1,0
Gilgamesh,None,51,Rune Blade,Attack,173,"Genji Helm (7/8), Genji Armor (1/8)",0,None,45,0,38000,347,No,None,97,"Coliseum (Wager Excalipoor [Buy at Auction House for 500,000]) [WoR]",3200,No,8,212,30,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Haste (1/4)",Blade Dance (150% damage),88,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop","Genji Glove (7/8), Genji Shield (1/8)",Humanoid,Nothing,None,1,1,0
Glasya Labolas,None,23,Fist,"Attack, Uppercut, Uppercut, Uppercut",150,None,2953,None,105,2500,4771,152,Yes,None,35,Mt. Zozo (Caves & Any Slopes) [WoR],590,No,10,145,10,"Potion, Potion, Potion, Organyx (32/256)",None,Revenge Blast,Hard,Borras,Uppercut (Always),Uppercut (500% damage),43,"Death, Doom, Silence","Hi-Potion (7/8), Muscle Belt (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Poison,0,0,0
Gloomwind,None,13,Fist,"Attack, Rock, Net",115,None,1096,None,0,421,2905,197,No,None,41,Around Thamasa (Wasteland) [WoR],175,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Net,Easy,GloomShell,"Net (3/4), Rock (1/4)",Rock (inflicts 'Petrify'),35,"Darkness, Poison, Imp, Petrify, Berserk, Confusion, Sleep",Hi-Potion (1/8),N/A,"Zombie, MagiTek, Invisible, Death, Doom, Critical, Image Silence, Sap, Slow, Stop",Ice,0,0,0
Glutturn (Blue) [Asks for Hi-Ether],None,120,Fist,Attack,200,None,50000,None,255,50000,40000,37,No,None,91,Soul Shrine,60000,No,55,255,255,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Blizzaga (1/4)",Punish (inflicts 'Death'),95,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Celestriad (1/8),N/A,None,None,0,1,0
Glutturn (Green) [Asks for Ether],None,60,Fist,Attack,160,None,50000,None,255,50000,30000,38,No,None,91,Soul Shrine,60000,No,20,255,255,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Aero (1/4)",Punish (inflicts 'Death'),95,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Force Shield (1/8),N/A,None,None,0,1,0
Glutturn (Red) [Asks for Elixir],None,120,Fist,Attack,220,None,50000,None,255,50000,60000,36,No,None,91,Soul Shrine,60000,No,20,255,255,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Firaga (1/4)",Punish (inflicts 'Slow'),95,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Soul of Thamasa (1/8),N/A,None,None,0,1,0
