SNES_Name,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Ralph,None,14,Fist,"Attack, Tackle",135,Hi-Potion (1/8),255,None,0,345,620,70,Yes,None,17,Grass on Southern Continent (Everywhere) Forest on Southern Continent,10,No,10,145,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Tackle,Easy,"Attack (3/4), Tackle (1/4)",Tackle (150% damage),35,Petrify,"Potion (7/8), Tiger Mask (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Dragon,None,45,Fist,"Attack, Tail, Revenge Blast, Snowstorm",130,None,2931,None,40,0,7000,109,No,None,29,Floating Continent,850,No,10,110,0,"Potion, Potion, Potion, Elixir (32/256)",None,Revenge Blast,Hard,"Revenge Blast (3/4), Tail (1/4)",Tail (500% damage),55,"Imp, Petrify, Death, Doom, Critical, Silence, Berserk Confusion, Sap","Hi-Potion (7/8), Genji Glove (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sleep Slow, Stop",Lightning,0,0,0
Drop,None,6,Fist,"Attack, Crazed Signal, Confuse",100,Ether (1/8),398,None,0,427,1000,136,No,Sap,27,Figaro Castle (Engine Room) [WoR],80,Yes,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (128/256)",Meteor Strike,Confuse,Easy,"Confuse (3/4), Crazed Signal (1/4)",Crazed Signal (inflicts 'Confusion'),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Ether (7/8),N/A,"Slow, Stop","Lightning, Water",0,0,0
Dueller,None,13,Fist,"Attack, Megashock, Megavolt, Gigavolt",185,None,2500,None,0,800,7200,252,No,None,53,Kefka's Tower (1st/2nd Party,1600,No,10,145,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Megavolt,Hard,"Gigavolt (3/4), Megashock (1/4)",Megashock (300% damage),35,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Chainsaw (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Dullahan,Ice,55,Fist,"Attack, Morning Star",130,None,0,None,10,0,23450,316,No,"Float, Haste",37,Darill's Tomb (Boss) [WoR],1721,Yes,7,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,"Attack (3/4), Morning Star (1/4)",Morning Star (200% damage),55,"Zombie, Poison, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep, Stop","X-Potion (7/8), Genji Glove (1/8)",N/A,"Darkness, MagiTek, Image, Sap, Slow",Fire,1,0,0
Dirt Drgn,None,23,Dragon Claws,"Attack, Honed Tusk",110,Magus Rod (Always),0,None,0,0,28500,342,No,Float,53,Opera House [WoR],16500,No,12,150,0,"Crystal Sword, Crystal Shield, Crystal Helm, Crystal Mail (32/256)",Control,None,Can't Run Away,"Thundaga (3/4), Magnitude 8 (1/4)",Honed Tusk (500% damage),55,"Zombie, Invisible, Imp, Petrify, Death, Doom, Critical Silence, Berserk, Confusion, Sap, Stop",X-Potion (1/8),N/A,"Darkness, Poison, MagiTek, Image, Sleep, Slow","Wind, Water",1,0,0
Enuo,None,13,Fist,"Attack, Slime, Tsunami, Aqua Breath",50,None,1429,None,0,968,4635,220,No,"Sap, Reflect",46,Cave to the Ancient Castle [WoR],280,No,10,250,0,"Potion, Potion, Potion, Elixir (32/256)",None,Tsunami,Easy,"Tsunami (3/4), Slime (1/4)",Slime (inflicts 'Slow'),30,"Darkness, Poison, Imp, Critical, Berserk, Confusion, Sleep Slow, Stop",X-Potion (1/8),N/A,"Zombie, MagiTek, Invisible, Petrify, Death, Doom, Image Silence, Sap",Holy,0,0,0
Hidonite,Poison,13,Dragon Claws,"Attack, Poison Claw",85,None,0,None,0,0,3500,333,No,None,43,Ebot's Rock (During fight with Hidon) [WoR],1000,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,"Attack (3/4), Poison Claw (1/4)",Poison Claw (inflicts 'Poison'),30,"Zombie, Invisible, Imp, Berserk, Confusion, Sleep",None,N/A,"Darkness, Poison, MagiTek, Petrify, Death, Doom, Critical Image, Silence, Sap, Slow, Stop",Earth,1,0,0
Hidonite,"Fire, Ice, Lightning, Poison, Wind, Holy, Water",13,Dragon Claws,"Attack, Confuse Claw",115,None,0,None,0,0,3500,334,No,Reflect,43,Ebot's Rock (During fight with Hidon) [WoR],1000,Yes,10,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,"Attack (3/4), Confuse Claw (1/4)",Confuse Claw (inflicts 'Confusion'),30,"Invisible, Imp, Death, Doom, Silence, Confusion, Sleep Slow, Stop",None,N/A,"Darkness, Zombie, Poison, MagiTek, Petrify, Critical, Image Berserk, Sap",None,0,0,0
Hidonite,Poison,13,Dragon Claws,"Attack, Zombie Claw",105,None,0,None,0,0,3500,335,No,None,43,Ebot's Rock (During fight with Hidon) [WoR],1000,No,10,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,"Attack (3/4), Zombie Claw (1/4)",Zombie Claw (inflicts 'Zombie'),30,"Darkness, Zombie, Poison, Invisible, Imp, Petrify, Silence Berserk, Sleep",None,Undead,"MagiTek, Death, Doom, Critical, Image, Confusion, Sap Slow, Stop","Fire, Holy",0,0,0
Hidonite,None,13,Dragon Claws,"Attack, Mega Claw",95,None,0,None,0,0,3500,336,Yes,Protect,43,Ebot's Rock (During fight with Hidon) [WoR],1000,No,10,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,"Attack (3/4), Mega Claw (1/4)",Mega Claw (400% damage),30,"Zombie, Invisible, Imp, Petrify, Critical",None,N/A,"Darkness, Poison, MagiTek, Death, Doom, Image, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop","Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water",0,0,0
Rinn,Poison,10,Fist,"Attack, Slow",55,None,95,None,0,100,110,5,No,Float,11,"Terra/Edgar/Bannon Scenario In Mog's cave if you pick the wrong route and mess up on the stars, you have a 25% chance of encountering these enemies Anytime after the Imperial raid on Narsche (You can return to this cave and mess up the puzzle again)",35,No,10,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Fire,Easy,"Attack (3/4), Slow (1/4)",Cling (inflicts 'Slow'),25,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Potion (Always),Undead,None,"Fire, Holy",0,0,0
Exocite,Water,19,Sasuke,"Attack, Pincer",100,Potion (1/8),162,None,0,153,196,23,No,None,11,Lethe River [WoB],100,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Pincer,Easy,"Attack (3/4), Pincer (1/4)",Pincer (150% damage),30,"Darkness, Imp","Potion (7/8), Mythril Claws (1/8)",N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop","Fire, Lightning",0,0,0
Exoray,Poison,13,Fist,"Attack, Deadly Pollen, Venomist",105,Holy Water (7/8),449,None,0,370,1200,146,No,Shell,29,"Darill's Tomb (B2F, B3F) [WoR]",112,No,10,105,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Venomist,Easy,"Venomist (3/4), Deadly Pollen (1/4)",Deadly Pollen (inflicts 'Zombie'),33,"Darkness, Imp, Petrify, Silence, Berserk, Confusion, Sleep",None,Undead,"Zombie, Poison, MagiTek, Invisible, Death, Doom, Critical Image, Sap, Slow, Stop","Fire, Holy",0,0,0
Phase,Fire,11,Fist,"Attack, Smirk, 1000 Needles",105,Phoenix Down (1/8),2600,None,0,890,4550,164,No,Float,47,Phoenix Cave (Upstairs; Non-lava floors) [WoR],1700,Yes,10,150,0,"Potion, Potion, Potion, Elixir (32/256)",None,1000 Needles,Can't Run Away,"1000 Needles (3/4), Smirk (1/4)",Smirk (inflicts 'Stop'),30,"Imp, Petrify, Death, Doom, Silence, Sleep",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image Berserk, Confusion, Sap, Slow, Stop",Ice,0,0,0
Mesosaur,None,13,Fist,"Attack, Tongue Lash, Traveler",110,None,459,None,0,456,1112,114,No,None,26,Southern Continent (Grass) [WoR],130,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Traveler,Easy,"Traveler (3/4), Tongue Lash (1/4)",Tongue Lash (inflicts 'Sap'),30,None,Antidote (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Ice,0,0,0
Fidor,None,25,Fist,"Attack, Pounce",55,None,160,None,0,180,355,53,Yes,None,13,Narshe Cliffs (While protecting Bannon from Kefka),80,No,10,170,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Pounce,Can't Run Away,"Attack (3/4), Pounce (1/4)",Pounce (200% damage),35,"Petrify, Sleep","Phoenix Down (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Fire,0,0,0
Doom,"Ice, Poison",60,Fist,"Attack, Fiendish Rage",110,Mutsunokami (Always),0,None,0,0,63000,353,No,None,73,"Kefka's Tower (Room after Guardian, Left Party) [WoR]",4800,No,9,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",Northern Cross,Can't Run Away,"Attack (3/4), Fiendish Rage (1/4)",Fiendish Rage (unblockable; 400% damage),61,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Sleep Stop",Safety Bit (1/8),N/A,"Darkness, Image, Slow",Holy,1,0,0
Doom Drgn,None,13,Fist,"Attack, Heartless Angel, Northern Cross, Southern Cross",110,None,8500,None,0,2700,18008,242,No,Float,54,"Kefka's Tower (After Magitek Research Tube Room, Party #1) [WoR]",10000,Yes,13,90,0,"Potion, Potion, Potion, Elixir (32/256)",Meteor Strike,Northern Cross,Hard,"Northern Cross (3/4), Heartless Angel (1/4)",Dissolve (unblockable; bestows 'Invisible'),48,"Imp, Petrify, Death, Doom, Critical, Silence, Berserk Confusion, Sleep, Slow, Stop",Guard Bracelet (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sap",None,0,0,0
Figaliz,None,29,Trident,"Attack, Venom, Dischord, Leech",90,None,1219,None,0,554,4220,218,Yes,Reflect,45,Cave to the Ancient Castle [WoR] Ancient Castle (outside & inside) [WoR],140,No,10,250,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Dischord,Easy,"Dischord (3/4), Venom (1/4)",Venom (inflicts 'Poison'),30,"Poison, Sleep",Hi-Potion (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop",Ice,0,0,0
FlameEater,Fire,13,Fist,"Attack, Hit",105,None,0,"Lightning, Poison, Holy, Earth",20,0,8400,298,No,None,26,Thamasa (Burning House),480,Yes,7,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),34,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Stop",Flametongue (7/8),N/A,Slow,Ice,1,0,0
Flan,None,13,Fist,"Attack, Sapping Ooze, Sticky Goo",13,None,160,"Poison, Wind, Holy, Earth, Water",0,120,255,80,No,None,19,Magitek Research Facility (basement where you found Shiva & Ifrit),110,No,10,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Sticky Goo,Easy,"Sticky Goo (3/4), Sapping Ooze (1/4)",Sapping Ooze (inflicts 'Sap'),30,"Darkness, Poison, Imp, Petrify","Potion (7/8), Magicite Shard (1/8)",N/A,"Zombie, MagiTek, Invisible, Death, Doom, Critical, Image Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop",Fire,0,0,0
Bleary,None,13,Fist,"Attack, Forty Winks, Dread Gaze",100,Potion (1/8),53,None,0,80,119,11,No,None,7,South Figaro Cave (Only before Locke's Scenario) [WoB],10,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Death,Easy,"Attack (3/4), Forty Winks (1/4)",Forty Winks (inflicts 'Sleep'),30,None,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Fortis,None,5,Fist,"Attack, Double Arm, Fireball, Snowball",160,None,3500,None,0,250,9800,255,No,None,54,Kefka's Tower (1st/2nd Party,700,No,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Fireball,Hard,"Metal Cutter (3/4), Double Arm (1/4)",Double Arm (200% damage),35,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Drill (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
FossilFang,Poison,25,Fist,"Attack, Bone, Sandstorm, Banish",100,None,380,None,0,1870,1399,56,No,None,20,Desert near Kohlingen Desert near Albrook,219,No,3,165,0,"Remedy, Remedy, Remedy, Remedy (128/256)",Meteor Strike,Sandstorm,Easy,"Sandstorm (3/4), Bone (1/4)",Bone (inflicts 'Zombie'),35,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep","Holy Water (7/8), Remedy (1/8)",Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Ice, Holy, Water",0,0,0
Tritoch,None,13,Partisan,"Attack, Hit",100,None,0,None,0,0,12000,8,No,None,19,Narshe (Biggs/Wedge/Terra raid) [Beginning of Game],600,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Control",None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,None,None,0,0,0
Aquila,Fire,13,Ice Rod,"Attack, Flap, Cyclonic, Shamshir",120,Phoenix Down (1/8),2781,None,30,906,6013,167,No,Float,49,Phoenix Cave (Upstairs; Non-lava floors) [WoR],820,No,10,145,0,"Potion, Potion, Potion, Growth Egg (32/256)",Meteor Strike,Cyclonic,Easy,"Cyclonic (3/4), Flap (1/4)",Flap (500% damage),40,"Imp, Petrify, Death, Doom, Sleep","Phoenix Down (7/8), Celestriad (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Critical, Image Silence, Berserk, Confusion, Sap, Slow, Stop",Ice,0,0,0
Scullion,None,13,Fist,"Attack, Gamma Rays, Gamma Rays, Gamma Rays",175,None,9000,None,0,0,27000,248,No,None,57,Kefka's Tower (3rd Party,9000,No,15,145,0,"Golden Spear, Golden Shield, Golden Helm, Golden Armor (32/256)",None,Dischord,Hard,"Self-Destruct (3/4), Gamma Rays (1/4)",Gamma Rays (inflicts 'Doom'),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Air Anchor (1/8),N/A,"Slow, Stop","Lightning, Water",0,0,0
Red Wolf,None,10,Dragon Claws,"Attack, Bodyslam",155,Potion (1/8),687,None,0,412,1510,188,No,None,32,"Narshe [WoR] Narshe Mines (West Mines, except 1st Cave) [WoR]",110,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Bodyslam,Hard,"Revenge Blast (3/4), Bodyslam (1/4)",Bodyslam (150% damage),25,"Darkness, Poison, Petrify, Death, Doom, Critical, Silence Berserk, Confusion, Sleep, Slow, Stop",Potion (Always),N/A,"Zombie, MagiTek, Invisible, Imp, Image, Sap",None,0,0,0
General,None,13,Kiku-ichimonji,"Attack, Bio Attack, Cura",155,Green Cherry (1/8),232,None,0,308,650,81,Yes,Protect,19,Magitek Research Facility (Room after Espers),30,No,10,105,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",None,Cura,Easy,"Cura (3/4), Bio Attack (1/4)",Bio Attack (inflicts 'Sap'),30,None,"Potion (7/8), Mythril Shield (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Ghost,Poison,1,Ice Rod,"Attack, Fire",105,Potion (1/8),48,None,0,75,226,40,No,Float,10,Phantom Forest,70,No,1,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Thundara,Easy,"Banish (3/4), Fire (1/4)",Time Freeze (inflicts 'Stop'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Potion (Always),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Gigan Toad,None,11,Fist,"Attack, Croak, Sticky Goo",100,Sleeping Bag (1/8),235,None,0,340,458,118,No,None,26,Southern Continent (Wasteland) [WoR],20,No,10,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Sticky Goo,Easy,"Sticky Goo (3/4), Croak (1/4)",Croak (200% damage),30,"Poison, Death, Doom",None,N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Critical Image, Silence, Berserk, Confusion, Sap, Sleep, Slow Stop",Ice,0,0,0
Gigantos,None,20,Fist,"Attack, Throat Jab, Revenge Blast",1,Sasuke (Always),7550,None,0,0,6000,306,No,Protect,25,Floating Continent (Monster-in-a-box; East of first Warp Tunnel),1120,No,10,1,0,"Potion, Potion, Potion, Organyx (32/256)",None,Magnitude 8,Can't Run Away,"Attack (3/4), Throat Jab (1/4)",Throat Jab (500% damage),50,"Invisible, Confusion, Sleep","X-Potion (7/8), Elixir (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Sap, Slow Stop",Poison,0,0,0
Borras,None,23,Fist,"Attack, Uppercut, Uppercut, Uppercut",150,None,2953,None,105,2500,4771,152,Yes,None,35,Mt. Zozo (Caves & Any Slopes) [WoR],590,No,10,145,10,"Potion, Potion, Potion, Organyx (32/256)",None,Revenge Blast,Hard,Uppercut (Always),Uppercut (500% damage),43,"Death, Doom, Silence","Hi-Potion (7/8), Muscle Belt (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Poison,0,0,0
GloomShell,None,13,Fist,"Attack, Rock, Net",115,None,1096,None,0,421,2905,197,No,None,41,Around Thamasa (Wasteland) [WoR],175,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Net,Easy,"Net (3/4), Rock (1/4)",Rock (inflicts 'Petrify'),35,"Darkness, Poison, Imp, Petrify, Berserk, Confusion, Sleep",Hi-Potion (1/8),N/A,"Zombie, MagiTek, Invisible, Death, Doom, Critical, Image Silence, Sap, Slow, Stop",Ice,0,0,0
Gabbldegak,None,13,Dagger,"Attack, Golden Wrench, Vanish",85,None,104,None,0,126,350,64,No,None,15,Zozo [WoB & WoR],20,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Vanish,Easy,"Vanish (3/4), Golden Wrench (1/4)",Golden Wrench (150% damage),30,None,"Eye Drops (7/8), Phoenix Down (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
Goddess,"Lightning, Holy",13,Magical Brush,"Attack, Hit",85,Excalibur (Always),0,None,0,0,44000,354,No,"Haste, Shell",68,"Kefka's Tower (Room after Guardian, Right Party) [WoR]",19000,No,14,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),50,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Minerva Bustier (1/8),N/A,Image,None,1,0,0
Vermin,Poison,20,Fist,"Attack, Bacteria, Bio",120,Hi-Potion (1/8),145,None,0,235,499,67,Yes,None,16,Opera House (While trying to stop Ultros),40,No,10,190,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Libra,Can't Run Away,"Bio (3/4), Bacteria (1/4)",Bacteria (inflicts 'Sap'),35,None,"Hi-Potion (7/8), Antidote (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Ice,0,0,0
Gold Bear,None,13,Dragon Claws,"Attack, Gouge",40,Hi-Potion (1/8),160,None,0,185,275,29,Yes,None,13,South Figaro Cave (Locke's Scenario) [WoB],0,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Gouge,Easy,"Attack (3/4), Gouge (1/4)",Gouge (250% damage),25,None,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,0,0,0
Gold Drgn,Lightning,13,Fist,"Attack, Hit",110,Crystal Orb (Always),0,None,0,0,32400,339,No,None,62,Kefka's Tower (2nd Party) [WoR],4000,Yes,10,150,0,"Crystal Sword, Crystal Shield, Crystal Helm, Crystal Mail (32/256)",Control,None,Can't Run Away,"Thundaga (3/4), Blizzaga (1/4)",Hit (400% damage),75,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Confusion, Sap, Sleep, Slow, Stop",None,N/A,"Darkness, Poison, Image, Berserk",Water,1,0,0
Tusker,None,28,Fist,"Attack, Gore",100,Gold Needle (1/8),163,None,0,102,270,19,Yes,None,10,Mt. Kolts (Caves and Slopes) [WoB],100,No,10,135,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Snowstorm,Easy,"Snowstorm (3/4), Gore (1/4)",Gore (200% damage),30,None,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Fire,0,0,0
Rhyos,None,40,Trident,"Attack, Flare Star, Avalanche, Aero",150,None,4928,None,0,1889,7191,153,No,None,36,Cave on the Veldt [WoR],354,No,15,160,0,"Potion, Potion, Potion, Ice Shield (32/256)",None,Avalanche,Can't Run Away,"Avalanche (3/4), El Niño (1/4)",Rampage (200% damage),60,"Darkness, Imp, Petrify, Death, Doom, Critical, Silence Berserk, Confusion",Golden Spear (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Image, Sap, Sleep Slow, Stop",None,0,0,0
WeedFeeder,None,13,Fist,"Attack, Wing Snap, Berserk",115,Echo Screen (1/8),278,None,0,234,480,72,No,Float,17,"Grass on Southern Continent (Around Vector, Maranda, and Tzen)",20,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Berserk,Easy,"Lifeshaver (3/4), Wing Snap (1/4)",Wing Snap (inflicts 'Berserk'),30,"Darkness, Imp, Silence, Sleep",Antidote (Always),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Confusion, Sap, Slow, Stop","Fire, Wind",0,0,0
GtBehemoth,None,7,Fist,"Attack, Haymaker, Meteor, Firaga",90,None,4100,None,0,2900,11000,253,No,None,58,Kefka's Tower (All Parties,700,No,10,105,0,"Potion, Potion, Potion, Elixir (32/256)",None,Meteor,Can't Run Away,"Meteor (3/4), Haymaker (1/4)",Haymaker (400% damage),35,"Darkness, Imp, Petrify, Death, Doom, Silence, Confusion",Tigerfang (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Critical, Image, Berserk Sap, Sleep, Slow, Stop",None,0,0,0
Evil Oscar,"Ice, Lightning, Poison, Wind, Holy, Earth, Water",13,Fist,"Attack, Poison, Snort, Bad Breath",115,None,2800,None,0,1320,7000,249,No,None,56,Kefka's Tower (All Parties,500,No,6,105,0,"Remedy, Remedy, Remedy, Remedy (64/256)",None,Bio,Hard,"Bad Breath (3/4), Poison (1/4)",Infernal Kiss (inflicts 'Death'),30,"Darkness, Silence",Teleport Stone (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Berserk, Confusion, Sap, Sleep Slow, Stop",Fire,0,0,0
Mantodea,None,180,Rune Blade,"Attack, Mind Reaper, Wind Slash",145,None,4612,None,0,501,4500,181,No,None,54,"South-Western Continent (Forest, Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR]",420,No,10,100,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (64/256)",None,Wind Slash,Hard,"Wind Slash (3/4), Mind Reaper (1/4)",Mind Reaper (steals MP),45,"Darkness, Imp, Petrify, Death, Doom, Critical, Sap Sleep",Impartisan (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Image, Silence, Berserk Confusion, Slow, Stop",Fire,0,0,0
Grenade,Fire,13,Fist,"Attack, Mesmerize, Blaze, Fireball",0,None,190,None,0,500,3000,73,No,Float,17,Forest to the West of Veldt,500,No,10,150,0,"Potion, Potion, Potion, Flame Shield (32/256)",Meteor Strike,Blaze,Easy,"Blaze (3/4), Mesmerize (1/4)",Mesmerize (inflicts 'Berserk'),30,"Imp, Petrify",Flame Scroll (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop","Ice, Water",0,0,0
Guard,None,16,Dagger,Attack,100,Potion (1/8),48,None,0,48,40,1,No,None,5,"Narshe (Biggs, Wedge, Terra raid) [WoB] Vector (Go to the skinny house to the left of the Inn and say No when the lady asks if you're loyal to the Empire) [WoB]",15,No,6,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Critical,Easy,Attack (Always),Critical (150% damage),30,None,"Potion (7/8), Hi-Potion (1/8)",Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Poison,0,0,0
